2024-05-17 09:17:37,544 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseWSMJService.java:94] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Attempting to call API URL: https://0474c1d3-c5c9-412a-bd2f-86e7f459ab4f.mock.pstmn.io/wsRcPpModel7/PersonnePhysique/ADD/1/1234567890
2024-05-17 09:17:38,523 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseWSMJService.java:113] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Successfully parsed JSON for codeJuridiction: 1, numRC: 1234567890
2024-05-17 09:17:39,139 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseService.java:403] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Nouvellement crée par
2024-05-17 09:17:39,148 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseService.java:566] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Nouvelle entreprise créée avec succès par COMPTE02 pour le tribunal 1 et le numéro RC 1234567890
2024-05-17 09:17:39,149 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseService.java:567] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Successfully created company with NumRC: 1234567890
2024-05-17 09:17:39,186 INFO [http-nio-8091-exec-9] m.d.p.audit [EntrepriseResource.java:93] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Entreprise créée avec succès avec le NumRC : 1234567890
2024-05-17 09:18:22,977 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseResource.java:87] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Tentative de création de l'entreprise : ma.digital.prospace.service.dto.EntrepriseRequest2@295f59d5
2024-05-17 09:18:22,979 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseWSMJService.java:94] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Attempting to call API URL: https://0474c1d3-c5c9-412a-bd2f-86e7f459ab4f.mock.pstmn.io/wsRcPpModel7/PersonnePhysique/ADD/2/1234567890
2024-05-17 09:18:23,627 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseWSMJService.java:113] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Successfully parsed JSON for codeJuridiction: 2, numRC: 1234567890
2024-05-17 09:18:24,337 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseService.java:406] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Déjà créé par
2024-05-17 09:18:24,337 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseService.java:302] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Aucune correspondance trouvée
2024-05-17 09:18:24,338 WARN [http-nio-8091-exec-4] m.d.p.audit [EntrepriseService.java:520] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Tentative de création d'entreprise échouée pour COMPTE02 - non manager.
2024-05-17 09:38:57,525 INFO [http-nio-8091-exec-10] m.d.p.audit [AuditLogService.java:18] anonymousUser 0:0:0:0:0:0:0:1  - Method called: AuditLogService.logAudit(..) - {"timestamp": "2024-05-17T08:38:57.524907900Z", "actionType": "CREATE_COMPTE_PRO", "username": "admin", "userId": "COMPTE01", "ipAddress": "@IP", "userAgent": "test", "data": {"actionDetail":"Create new ComptePro"}, "result": {"id":"COMPTE01","createdAt":1715935137471,"updatedAt":null,"deleted":false,"statut":"VALIDE"}}
2024-05-17 09:41:32,036 INFO [http-nio-8091-exec-8] m.d.p.audit [AuditLogService.java:18] anonymousUser 0:0:0:0:0:0:0:1  - Method called: AuditLogService.logAudit(..) - {"timestamp": "2024-05-17T08:41:32.036358500Z", "actionType": "CREATE_COMPTE_PRO", "username": "admin", "userId": "COMPTE02", "ipAddress": "@IP", "userAgent": "test", "data": {"actionDetail":"Create new ComptePro"}, "result": {"id":"COMPTE02","createdAt":1715935292029,"updatedAt":null,"deleted":false,"statut":"VALIDE"}}
2024-05-17 09:41:54,808 INFO [http-nio-8091-exec-7] m.d.p.audit [AuditLogService.java:18] anonymousUser 0:0:0:0:0:0:0:1  - Method called: AuditLogService.logAudit(..) - {"timestamp": "2024-05-17T08:41:54.808273200Z", "actionType": "CREATE_COMPTE_PRO", "username": "admin", "userId": "COMPTE03", "ipAddress": "@IP", "userAgent": "test", "data": {"actionDetail":"Create new ComptePro"}, "result": {"id":"COMPTE03","createdAt":1715935314803,"updatedAt":null,"deleted":false,"statut":"VALIDE"}}
2024-05-17 09:42:10,876 INFO [http-nio-8091-exec-9] m.d.p.audit [AuditLogService.java:18] anonymousUser 0:0:0:0:0:0:0:1  - Method called: AuditLogService.logAudit(..) - {"timestamp": "2024-05-17T08:42:10.876237300Z", "actionType": "CREATE_COMPTE_PRO", "username": "admin", "userId": "COMPTE04", "ipAddress": "@IP", "userAgent": "test", "data": {"actionDetail":"Create new ComptePro"}, "result": {"id":"COMPTE04","createdAt":1715935330872,"updatedAt":null,"deleted":false,"statut":"VALIDE"}}
2024-05-17 09:43:05,764 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseResource.java:87]    - Method called:  - Tentative de création de l'entreprise : ma.digital.prospace.service.dto.EntrepriseRequest2@5701916e
2024-05-17 09:43:05,767 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseWSMJService.java:94] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Attempting to call API URL: https://0474c1d3-c5c9-412a-bd2f-86e7f459ab4f.mock.pstmn.io/wsRcPpModel7/PersonnePhysique/ADD/1/1234567890
2024-05-17 09:43:06,691 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseWSMJService.java:113] anonymousUser 0:0:0:0:0:0:0:1  - Method called: EntrepriseWSMJService.getBycodeJuridictionAndnumRC(..) - Successfully parsed JSON for codeJuridiction: 1, numRC: 1234567890
2024-05-17 09:43:07,443 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseService.java:403] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Nouvellement crée par
2024-05-17 09:43:07,446 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseService.java:566] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Nouvelle entreprise créée avec succès par COMPTE01 pour le tribunal 1 et le numéro RC 1234567890
2024-05-17 09:43:07,447 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseService.java:567] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Successfully created company with NumRC: 1234567890
2024-05-17 09:43:07,466 INFO [http-nio-8091-exec-4] m.d.p.audit [EntrepriseResource.java:93] anonymousUser 0:0:0:0:0:0:0:1  - Method called: TribunalWSMJService.getListeTribunaux() - Entreprise créée avec succès avec le NumRC : 1234567890
